 0, 0, 0,13, 0, 0, 0,13,12,12,13, 0, 0, 0, 0, 0, 0, 0,13, 1,
13,13,13,13,13,13,13,13,12,12,13,13,13,13,13,13,13,13,11,13,
13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,13,
11,1,0,0,13,13,13,13,0,0,0,0,13,13,13,13,0,0,0,13,
11,0,1,0,11,13,13,13,1,0,0,1,13,13,13,13,1,0,1,13,
13,0,1,3,11,1,11,13,1,0,1,3,13,1,13,13,1,0,1,13,
11,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,1,13,
11,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,1,13,
11,0,1,0,0,0,0,0,1,0,13,13,13,13,13,13,1,0,1,13,
11,0,1,0,13,13,13,3,1,0,13,13,13,13,13,13,1,0,1,13,
11,0,1,0,1,0,1,0,1,0,13,13,13,13,13,13,1,0,1,13,
11,0,1,0,1,0,1,0,1,0,13,13,1,13,13,13,1,0,1,13,
11,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,1,13,
11,0,1,0,0,0,0,0,1,0,13,13,13,3,13,13,1,0,1,13,
11,0,1,0,4,4,4,5,1,0,1,0,1,0,1,0,1,0,1,13,
11,0,1,0,5,4,4,4,1,0,1,0,0,0,1,0,1,0,1,13,
11,0,1,0,4,4,4,5,0,0,0,0,0,0,0,0,0,0,0,13,
11,13,0,0,4,4,4,4,13,13,13,13,13,13,13,13,13,13,13,13,
